youtube_id,title,is_premium,serie_id
be46LBvVE3I,"Bestes Geschenk für Tomo | Tomo-chan Is a Girl!",false,42
lGIIJzd1kRg,"Das Date | Tomo-chan Is a Girl!",false,42
QEa607hTlqI,"Der Anfang einer guten Freundschaft | Tomo-chan Is a Girl!",false,42
"whLob7oVBTM","Senpai fragt nach einem Date | DON'T TOY WITH ME, MISS NAGATORO",false,3
3QNyh41pbVs,"Kontaktlinsen | DON'T TOY WITH ME, MISS NAGATORO",false,3
l-c9PBWVSaE,"Sein Speer ist viel zu groß | Parallel World Pharmacy",false,63
"-bijYBTC9cY","Raeliana ist besoffen | Raeliana – Warum sie die Verlobte des Dukes wurde",false,41
0Jv18bffLHE,"Duke heilt Raeliana |  Raeliana – Warum sie die Verlobte des Dukes wurde",false,41
BpsXKxp4XA0,"Sie teilen sich ein Crêpe | I Got a Cheat Skill in Another World",false,65
8LjhNGfK6gU,"Izumis Mutter möchte mit Shikimori eine Beziehung | Shikimori's Not Just a Cutie",false,19
7GjXbdUz5lo,"Jinshi gesteht Maomao seine Liebe | Die Tagebücher der Apothekerin",false,70
IPUXFVgzO4k,"Ein Kuss! | Die Tagebücher der Apothekerin",false,70
gaqqCBdmDYI,"Maomao wird verletzt | Die Tagebücher der Apothekerin",false,70
NoPbu3cDfEA,"Maomao hat es tatsächlich getan... | Die Tagebücher der Apothekerin",false,70
PQW10ua-tmw,"Die Lage spitzt sich zu | Die Tagebücher der Apothekerin",false,70
EVCjiDKw4Ic,"Maomaos Schönheit | Die Tagebücher der Apothekerin",false,70
M1rhcLkJOKE,"Make-Up macht Jinshi noch umwerfender! | Die Tagebücher der Apothekerin",false,70
pVnFAJUsT0A,"Jinshi möchte Maomao füttern | Die Tagebücher der Apothekerin",false,70
q0kBJ9ApO5w,"Sie hat einen Plan | Die Tagebücher der Apothekerin",false,70
ly9Zoxo-ErQ,"Jinshi wird zu Maomaos Diener | Die Tagebücher der Apothekerin",false,70
ScfPsZz1eKQ,"Maomao kennt sich mit Explosionen aus | Die Tagebücher der Apothekerin",false,70
gix74qP8N98,"Shikimoris Geburtstags-Überraschung | Shikimori's Not Just a Cutie",false,19
V0J-pSf5H5M,"Aus Feinden werden Freunde | Shikimori's Not Just a Cutie",false,19
tRUsK4ix_M8,"Shikimoris Eifersucht | Shikimori's Not Just a Cutie",false,19
iibLgJ4wgmY,"Schritt 1: Flirten, Schritt 2: Bereuen | Shikimori's Not Just a Cutie",false,19
frSpW4qo97M,"Es schmeckt noch besser! | Frieren – Nach dem Ende der Reise",false,55
SrPLyEhd598,"Kurz und schmerzlos | Frieren – Nach dem Ende der Reise",false,55
kyZOxuaiJyU,"Frieren ist keine Morgenelfe | Frieren – Nach dem Ende der Reise",false,55
momlTOwsyuE,"Ferns Erfahrungen | Frieren – Nach dem Ende der Reise",false,55
Br35zGZ9Jcs,"Unterschätze niemals Frieren | Frieren – Nach dem Ende der Reise",false,55
m6glWu0SaMM,"Ein magisches Wort | Frieren – Nach dem Ende der Reise",false,55
5Xy7QKlS55I,"Himmels Wunsch | Frieren – Nach dem Ende der Reise",false,55
1vfvPryAqEI,"Ein Versprechen für 50 Jahre | Frieren – Nach dem Ende der Reise",false,55
FhMphqjWcUY,"Wir sind keine Märchen | Frieren – Nach dem Ende der Reise",false,55
sKJ2LXE3nWE,"Ein gutes Team | Frieren – Nach dem Ende der Reise",false,55
t3_uYFazKrY,"Phantome der Vergangenheit | Frieren – Nach dem Ende der Reise",false,55
fJwpvLoLNOU,"Werdet endlich ein Paar! | Frieren – Nach dem Ende der Reise",false,55
OhdoSpTuoSk,"Wie sagt man "Mehr" ? | A Sign of Affection",false,77
Qv781Em_imw,"Gebärdensprache gelernt, um sie zu ärgern | A Sign of Affection",false,77
dxeCIx9ewo8,"Yuki, ich will dich | A Sign of Affection",false,77
aA7ONF-9cA8,"Yukis Rivalin | A Sign of Affection",false,77
nlQfmrSiQN4,"Das BLUELOCK Projekt | BLUELOCK",false,53
"-2xyyByTeR8","Sphären-Entfaltung | JUJUTSU KAISEN",false,76
S4pvHOHb0EA,"Yūji vs Sukuna | JUJUTSU KAISEN",false,76
bl8330-b8aE,"Sukuna vs Satoru Gojo | JUJUTSU KAISEN",false,76
XZy2pVhNbyw,"Zwiegesicht Sukuna | JUJUTSU KAISEN",false,76
DL7IrkeEiT8,"Senkū knutscht mit Kohaku | Dr. STONE NEW WORLD",false,67
KnKZIQtNmt8,"Kaseki ist zurück! | Dr. STONE NEW WORLD",false,67
Lfh7Rj9lv-Y,"Profi Gamer | Dr. STONE NEW WORLD",false,67
zDg6_dq6I88,"Die Schönheit des Dorfes | Dr. STONE NEW WORLD",false,67
JZ5LuR8bf4Q,"Ich werde dich retten! | SHY",false,28
llnL7ZP4RJw,"Flehe um dein Leben! | The Dawn of the Witch",false,40
4JCC6VeK3GM,"Es ist PERFEKT | The Rising of the Shield Hero",false,37
